CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	BOOKTITLE	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TITLE	TYPE	VOLUME	YEAR	TITLE_TRANSLATION	BOOKTITLE_TRANSLATION	URL
INCOLLECTION	kibrik1996trans	Munich/Newcastle		Kibrik, Andrei	Godoberi				Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander									107--146	Lincom Europa			Transitivity in lexicon and grammar			1996			
INCOLLECTION	schulze2008	Moscow		Schulze, Wolfgang	Удинский сборник: Грамматика. Лексика. История языка				Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.									241--310	Академия			Deictic Strategies in Udi			2008		Udi. Grammar. Lexicon. History of the language	
BOOK	imnajshvili1963	Tbilisi		Имнайшвили, Давид С.															Издательство Академии наук Грузинской ССР			Дидойский язык в сравнении с гинухским и хваршийским языками			1963	Tsez language in comparison with Hinuq and Khwarshi languages		
BOOK	uslar1979	Tbilisi		Услар, Пётр К.															Мецниереба			Табасаранский язык			1979	Tabasaran		
PHDTHESIS	babalieva2013			Babaliyeva, Ayten																École pratique des hautes études		Études sur la morphosyntaxe du tabasaran littéraire			2013	Studies on the morphosyntax of Standard Tabasaran		
BOOK	kurkiev2005	Magas		Куркиев, Алимбек С.															"Издательство """"Сердало"""""			Ингушско-русский словарь			2005	Ingush-Russian dictionary		
BOOK	bekovaetal2009	Nalchik		Бекова, А. И. and Дударов, У. Б. and Илиева, Ф. М. and Мальсагова, Л. Д. and Тариева, М. У.															"ГП КБР """"Республиканский полиграфкомбинат им. Революции 1905 г."""""			Ингушско-Русский словарь			2009	Ingush-Russian dictionary		
MISC	ganenkov2021draft			Ganenkov, Dmitry											manuscript							Chirag Dargwa			2021			
MISC	mukhin2020			Mukhin, Timofey											Higher School of Economics Research Paper No. WP BRP 100/LNG/2020							Numerals in Kina Rutul			2020			
MISC	ganenkov2021draft_numerals			Ganenkov, Dmitry											manuscript							Chirag Numerals			2021			
BOOK	maxmudova2001	Moscow		Махмудова, Светлана М.															Советский писатель			Морфология рутульского языка			2001	Morphology of Rutul		
ARTICLE	sulaibanovsumbatova2022			Сулайбанов, Г. Р. and Сумбатова, Н. Р.								Вопросы языкознания				3		109--131				Об одном типологическом раритете: каузатив в цугнинском диалекте даргинского языка.		2022	2022	About a typological rarity: causative in the Tsugni dialect of Dargwa		
INCOLLECTION	barylnikova2019	Berlin		Barylnikova, Daria	The Mehweb language. Essays on phonology, morphology and syntax				Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry									167--188	Language Science Press			Periphrastic causative constructions in Mehweb			2019			
INCOLLECTION	daniel2019	Berlin		Daniel, Michael	The Mehweb language. Essays on phonology, morphology and syntax				Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry									73--116	Language Science Press			Mehweb verb morphology			2019			
ARTICLE	dobrushina2016			Dobrushina, Nina								International Journal of Bilingualism				5		559--583				Contact-induced usages of volitional moods in East Caucasian languages		21	2016			
PHDTHESIS	ibragimova2012			Ибрагимова, Саида С.																Дагестанский государственный педагогический университет		Фонетические и морфологические особенности худуцского говора сирхинского диалекта даргинского языка			2012	Phonetic and morphological features of Khuduts idiom of Sirkhin dialect of Dargwa language		
ARTICLE	belyaev2019			Беляев, Олег И.								Томский журнал лингвистических и антропологических исследований				2		20-38				Место ширинского и амузгинского среди диалектов даргинского языка		24	2019	The Position of Shiri and Amuzgi among Dargwa Varieties		
PHDTHESIS	dalgatov2017			Далгатов, Имамурза Х.											Автореферат					Дагестанский государственный педагогический университет		Сивухский говор каратинского языка			2017	Sivukh variety of Karata (abstract)		
PHDTHESIS	abdulaeva2001			Абдулаева, Индира А.											Автореферат					Дагестанский государственный педагогический университет		Ратлубский говор ахвахского языка: Фонетика и морфология			2001	Ratlub variety of Akhvakh: Phonetics and morphology		
PHDTHESIS	isakov1981	Makhachkala		Исаков, Исак А.																Институт языка, литературы и искусства им. Г. Цадасы Дагестанского федерального исследовательского центра РАН		Кусурский диалект аварского языка			1981	Kusur dialect of Avar		
PHDTHESIS	musalaeva2016			Мусалаева, Джавгарат А.											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности салатавского диалекта аварского языка			2016	Phonetic and morphological features of the Salatav dialect of Avar		
PHDTHESIS	radzhabova2012			Раджабова, Разият Г.											Автореферат					Дагестанский государственный педагогический университет		Фонетические, морфологические и лексические особенности салтинского говора аварского языка: по данным речи села Аркас			2012	Phonetic, morphological and lexical features of the Salta dialect of Avar according to data from the village of Arkas		
PHDTHESIS	tagirova2003			Тагирова, Забихат М.											Автореферат					Дагестанский государственный педагогический университет		Гергебильский говор аварского языка			2003	Gergebil‘ variety of Avar		
BOOK	karimovakhalilov2013	Makhachkala		Каримова, Раисат Шихабудиновна and Халилов, Маджид Шарипович															Алеф			Заимствованная лексика в хваршинском языке			2013	Borrowed lexicon in Khwarshi		
ARTICLE	sirazhudinovaataev2007			Сиражудинова, К. К. and Атаев, Борис Махачевич								Вестник Дагестанского государственного университета						89–91				Имена числительные в некоторых диалектах аварского языка в сравнении с андо-цезскими		6	2007	Numerals in some dialects of the Avar language in comparison with Andic-Tsezic languages		
INPROCEEDINGS	ganenkovmaisak2008			Ganenkov, Dmitry and Maisak, Timur	Workshop “Morphological Variation and Change in Languages of the Caucasus”																	Contact-induced morphological change in Agul dialects			2008			
PHDTHESIS	asaliev2003			Асалиев, Джамалдин А.											Автореферат					Дагестанский государственный университет		Кимильский говор и его место в диалектной системе лезгинского языка			2003	Qimil variety and its place in the dialect system of Lezgian		
BOOK	arsakhanov1969	Grozny		Арсаханов, Исраил А.															Чечено-Ингушское книжное издательство			Чеченская диалектология			1969	Dialectology of Chechen		
PHDTHESIS	asadova2013			Асадова, Гюльнисе Н.											Автореферат					Дагестанский государственный педагогический университет		Каракюринский говор самурского наречия лезгинского языка: фонетика, морфология, лексика			2013	Karakyure variety of the Samur dialect of Lezgian: Phonetics, morphology, vocabulary		
PHDTHESIS	aliverdieva2006			Аливердиева, Султанат А.											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности гогазского говора лезгинского языка			2006	The phonetic and morphological features of the Gogaz dialect of Lezgian		
PHDTHESIS	abdurakhmanova2014			Абдурахманова, Альбина М.											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности курушского говора лезгинского языка			2014	The phonetic and morphological features of the Kurush dialect of Lezgian		
PHDTHESIS	abdullaeva2019			Абдуллаева, Заира Р.											Автореферат					Дагестанский государственный педагогический университет		Меусишинский говор даргинского языка			2019	Meusishi variety of Dargwa		
PHDTHESIS	ibragimov2011			Ибрагимов, Александр Г.											Автореферат					Дагестанский государственный педагогический университет		Гельмецкий диалект цахурского языка			2011	Gel’mets dialect of Tsakhur		
PHDTHESIS	karabekov2013			Карабеков, Руслан М.											Автореферат					Дагестанский государственный педагогический университет		Захитский говор лезгинского языка			2013	Zakhit variety of Lezgian		
PHDTHESIS	kadibagomaeva2009			Кадибагомаева, Заира А.											Автореферат					Дагестанский государственный педагогический университет		Словообразование в сирхинском диалекте даргинского языка: на материале нахкинского, нацинского и цугнинского говоров			2009	The word formation in the Sirkhe dialect of Dargwa		
PHDTHESIS	abdulaeva2013			Абдулаева, Зарина А.											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности амушинского говора аварского языка			2013	The phonetic and morphological features of the Amushi variety of Avar		
PHDTHESIS	shakhbanova2011			Шахбанова, Патимат Г.											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности карбачимахинского говора даргинского языка			2011	The phonetic and morphological features of the Karbachimakhi variety of Dargwa		
PHDTHESIS	shabanova2006			Шабанова, Оксана В.											Автореферат					Дагестанский государственный педагогический университет		Шимихюрский говор лезгинского языка			2006	Shimikhyur variety of Lezgian		
PHDTHESIS	sultalieva2011			Султалиева, Земфира Мамедьяровна											Автореферат					Дагестанский государственный педагогический университет		Фонетико-морфологические и лексические особенности хлютского говора лезгинского языка			2011	The phonetic-morphological and lexical features of the Khlyut variety of Lezgian		
PHDTHESIS	pirmagomedova2013			Пирмагомедова, Аида С.											Автореферат					Дагестанский государственный педагогический университет		Гелхенский говор лезгинского языка			2013	Gelkhen variety of Lezgian		
PHDTHESIS	nurmagomedova2009			Нурмагомедова, Сарижат Г.											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности тлохского говора аварского языка			2009	The phonetic and morphological features of the Tlokh variety of Avar		
PHDTHESIS	murtazaeva2005			Муртазаева, Динара Абумуслимовна											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности ашарского говора лезгинского языка			2005	The phonetic and morphological features of the Ashar variety of Lezgian		
PHDTHESIS	muradova2003			Мурадова, Джаннат М.											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности верхнекарахского говора аварского языка			2003	The phonetic and morphological features of the Upper Karakhi variety of Avar		
PHDTHESIS	muradalieva2009			Мурадалиева, Альфия Велибеговна											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности мазинского говора лезгинского языка			2009	The phonetic and morphological features of the Maza variety of Lezgian		
PHDTHESIS	mirzamagomedova2007			Мирзамагомедова, Раисат М.											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические (именные) особенности нижнемулебкинского говора даргинского языка			2007	Phonetic and morphological (nominal) features of the Lower Mulebki variety of Dargwa		
PHDTHESIS	ismailova2012			Исмаилова, Аматулла С.											Автореферат					Дагестанский государственный педагогический университет		Мугринский говор даргинского языка: фонетические и морфологические особенности			2012	The Mugri variety of Dargwa: Phonetic and morphological features		
PHDTHESIS	dzhamaludinova2013			Джамалудинова, Айшат Г.											Автореферат					Дагестанский государственный педагогический университет		Фонетические и морфологические особенности харахинского говора аварского языка			2013	The phonetic and morphological features of the Kharakhi dialect of Avar		
MISC	testelets1980			Тестелец, Яков Г.											MA thesis, reprinted in 2003							Именные локативные формы в дагестанских языках			1980	Nominal spatial forms in the languages of Daghestan		
MISC	hillery1994	Pontypridd		Hillery, P. J.															Languages Information Centre			Georgian: The Kartvelian literary language			1994			
INCOLLECTION	khalilov2023a	Leipzig		Khalilov, Madzhid	The Intercontinental Dictionary Series				Key, Mary Ritchie and Comrie, Bernard										Max Planck Institute for Evolutionary Anthropology			Akhvakh (Northern dialect) dictionary			2023			http://ids.clld.org/contributions/33
INCOLLECTION	khalilov2023b	Leipzig		Khalilov, Madzhid	The Intercontinental Dictionary Series				Key, Mary Ritchie and Comrie, Bernard										Max Planck Institute for Evolutionary Anthropology			Kryz dictionary			2023			http://ids.clld.org/contributions/518
INCOLLECTION	khalilov2023c	Leipzig		Khalilov, Madzhid	The Intercontinental Dictionary Series				Key, Mary Ritchie and Comrie, Bernard										Max Planck Institute for Evolutionary Anthropology			Kumyk dictionary			2023			http://ids.clld.org/contributions/72
BOOK	mikailov1959	Leningrad		Микаилов, Шихабудин И.															Издательство Академии наук СССР [Ленинградское отд-ние]			Очерки аварской диалектологии			1959	Essays on Avar dialectology		
BOOK	izgijaeva2005	Makhachkala		Изгияева, Эдэсо Биньяминовна															Издательство «Юпитер»			Татский язык горских евреев Кавказа. Татско-русский и русско-татский словари			2005	Tat language of the mountain Jews of the Caucasus. Tat-Russian and Russian-Tat dictionaries		
INCOLLECTION	comrie2004	Amsterdam/Philadelphia		Comrie, Bernard	Non-nominative Subjects				Bhaskararao, Peri and Subbarao, Karumuri Venkata									113-128	John Benjamins Publishing Company			Oblique-case subjects in Tsez			2004			
BOOK	tsibakhashvili1978	Tbilisi		Цибахашвили, Георгий И.															Издательство Тбилисского университета			Самоучитель грузинского языка			1978	Self-teacher of the Georgian language		
MISC	roncero2021			Roncero, Kristian																		An audio-visual documentation of Chamalal, a language of Dagestan (Russia). Endangered Languages Archive			2019			http://hdl.handle.net/2196/00-0000-0000-0012-D792-E
MISC	muravyevdraft			Muravyev, Nikita											unpublished							Southern Akhvakh, a grammar sketch						
MISC	belyaevdraft2019			Belyaev, Oleg											unpublished							A grammar of Shiri			2019			
MISC	authier2023			Authier, Gilles											unpublished							The Khnov dialect of Southern Rutul			2023			
MISC	creisselsquest2008			Creissels, Denis											unpublished							Анкета по нахско-дагестанскому оптативу и императиву. Axaxdərə Akhvakh			2008	Questionnaire on Nakh-Daghestanian optative and imperative. Axaxdərə Akhvakh		
INCOLLECTION	kozintseva2001	Munich		Kozintseva, Natalia A.	Typology of Imperative Constructions				Khrakovskij, Victor S.									245--267	Lincom Europa			Imperative sentences in Armenian			2001			
BOOK	eldarova1999	Makhachkala		Эльдарова, Роза Г.															IPC DGU			Лакский глагол (система глагольного словоизменения)			1999	Lak verb (system of verbal inflection)		
MISC	alekseevaetal2023	Moscow		Alekseeva, Anastasija and Beklemishev, Nikita and Daniel, Michael and Dobrushina, Nina and Filatov, Konstantin and Ivanova, Anastasija and Maisak, Timur and Melenchenko, Maksim and Moroz, George and Netkachev, Ivan and Sadakov, Ilja															Linguistic Convergence Laboratory, HSE University			Atlas of Rutul dialects			2023			https://lingconlab.github.io/rutul_dialectology/index.html
MISC	dobrushina2021draft			Dobrushina, Nina	Grammar of Kina Rutul										unpublished							Uses of volitional forms			2021			
INCOLLECTION	ganenkov2019			Ganenkov, Dmitry																		Case and agreement in Mehweb						
BOOK	chumakinaetal2007print	Makhachkala		Чумакина, Марина Э. and Браун, Д. and Квиллиам, Х. and Корбетт, Г. Г.															Деловой мир			Словарь арчинского языка (арчинско-русско-английский)			2007	A dictionary of Archi: Archi-Russian-English		
BOOK	dzhamalovsemedov2006	Moscow		Джамалов, Камал Э. and Семедов, Семед А.															Экон-Информ			Рутульско-русский словарь (ихрекский диалект)			2006	Rutul-Russian dictionary (Ikhrek dialect)		
MISC	hummatovrindpawlowski2020	Baku		Hümmətov (Qrızlı), İsrafil Ə. and Rind-Pawlowski, Monika																		Qrızca-azərbaycanca-ingiliscə lüğət			2020	Kryz-Azerbaijani-Enlish dictionary		
BOOK	sulejmanov2003	Makhachkala		Сулейманов, Надир Д.															ИЯЛИ ДНЦ РАН			Агульско-русский (диалектологический) словарь			2003	Agul-Russian dialectological dictionary		
BOOK	alekseevazaev2019	Moscow		Алексеев, Михаил Е. and Азаев, Халил Г.															Academia			Ботлихско-русский словарь			2019	Botlikh-Russian dictionary		
BOOK	aliroev2005	Moscow		Алироев, Ибрагим Ю.															Academia			Чеченско-русский словарь			2005	Chechen-Russian dictionary		
MISC	bertlani2012	Tbilisi							Бертлани, Арсен													Цоватушинско-грузинско-русско-английский словарь. Том I: a-j			2012	Tsovatush-Georgian-Russian-English Dictionary. Volume I: a-j		
BOOK	bertlani2013	Tbilisi							Бертлани, Арсен										Saari			Цоватушинско-грузинско-русско-английский словарь. Том II: k'-k			2013	Tsovatush-Georgian-Russian-English Dictionary. Volume II: k'-k		
BOOK	bertlani2018	Tbilisi							Бертлани, Арсен										Универсал			Цоватушинско-грузинско-русско-английский словарь. Том III: γ-ʽ			2018	Tsovatush-Georgian-Russian-English Dictionary. Volume III: γ-ʽ		
MISC	bertlani2019	Tbilisi							Бертлани, Арсен													Цоватушинско-грузинско-русско-английский словарь. Том IV (Дополнения): a-ʽ			2019	Tsovatush-Georgian-Russian-English Dictionary. Volume IV (Supplements): a-ʽ		
BOOK	ozdoev1980	Moscow		Оздоев, Ибрагим А.															Русский язык			Русско-ингушский словарь			1980	Russian-Ingush dictionary		
BOOK	bammatov1997	Makhachkala		Бамматов, Бурган Г.															ДНЦ РАН			Русско-кумыкский словарь			1997	Russian-Kumyk dictionary		
BOOK	garibyan1982	Yerevan		Гарибян, Арарат С.															Айастан			Русско-армянский словарь: В одном томе			1982	Russian-Armenian dictionary. In one volume		
BOOK	galstyan1987	Yerevan							Галстян, Е. Г.										Издательство АН Армянской ССР			Армянско-русский словарь			1987	Armenian-Russian dictionary		
BOOK	rayfield2006	London							Rayfield, Donald										Garnett Press			A Comprehensive Georgian-English Dictionary (draft version)			2006			
BOOK	kogian1949	Vienna		Kogian, Fr. S. L.															Mechitarist Press			Armenian grammar (West dialect)			1949			
MISC	geoexplanatorydict	Tbilisi																	Language Modeling Association			Electronic version of Georgian Explanatory Dictionary						
BOOK	rusarmeniandict1954	Yerevan		Амбарцумян, А. А. and Геворгян, М. А. and Потеян, В. А. and Тер-Минасян, Е. Г.					Агаян, Эд. Б. and Капанцян, Гр. А. and Мелкумян, Р. Л.										Издательство АН Армянской ССР			Русско-армянский словарь. Том 1. А—Е			1954	Russian-Armenian dictionary. Vol. 1. A—Ye		
BOOK	rusarmeniandict1956	Yerevan		Амбарцумян, А. А. and Геворгян, М. А. and Кусикян, И. Г. and Потеян, В. А. and Тер-Минасян, Е. Г.					Агаян, Эд. Б. and Казарян, С. К.										Издательство АН Армянской ССР			Русско-армянский словарь. Том 2. К—О			1956	Russian-Armenian dictionary. Vol. 2. K—O		
BOOK	rusarmeniandict1957	Yerevan		Амбарцумян, А. А. and Геворгян, М. А. and Потеян, В. А. and Тер-Минасян, Е. Г.					Гарибян, Арарат С.										Издательство АН Армянской ССР			Русско-армянский словарь. Том 3. П—Р			1957	Russian-Armenian dictionary. Vol. 3. P—R		
BOOK	rusarmeniandict1958	Yerevan		Геворгян, М. А. and Потеян, В. А. and Тер-Минасян, Е. Г.					Гарибян, Арарат С.										Издательство АН Армянской ССР			Русско-армянский словарь. Том 4. С—Я			1958	Russian-Armenian dictionary. Vol. 4. S—Ja		
BOOK	abdulaevkhalilov2023	Makhachkala		Абдулаев, А. К. and Халилов, Маджид Шарипович					Халилова, Заира Маджидовна										Institute Language, Literature and Arts DFRC RAS			Диалектологический словарь цезского (дидойского) языка			2023	Dialectological dictionary of Тsez (Dido)		
INCOLLECTION	kibriktestelec2004	Ann Arbor, MI		Kibrik, Alexander E. and Testelets, Jakov G.	The indigenous languages of the Caucasus. Vol. 3: The North East Caucasian languages. Part 1				Job, Michael									217-295	Caravan Books			Bezhta			2004			
INCOLLECTION	maisak2009	Москва		Майсак, Тимур	Логический анализ языка. Ассерция и негация				Арутюнова, Нина									480–495	Индрик			Синтаксис и семантика в распределении показателей отрицания (на материале удинского языка)			2009	Syntax and semantics in the distribution of negation markers (on the material of Udi)	Logical analysis of language. Assertion and negation	
INCOLLECTION	friedman2021	Oxford		Friedman, Victor	The Oxford Handbook of Languages of the Caucasus				Polinsky, Maria									201–241	Oxford University Press			Lak			2021			
INCOLLECTION	chumakina2021	Oxford		Chumakina, Marina	The Oxford Handbook of Languages of the Caucasus				Polinsky, Maria									280–316	Oxford University Press			Archi			2021			
UNPUBLISHED	authier_rutul			Authier, Gilles																		Rutul						
INCOLLECTION	maisak2009	Москва		Майсак, Тимур	Логический анализ языка. Ассерция и негация				Арутюнова, Нина									480–495	Индрик			Синтаксис и семантика в распределении показателей отрицания (на материале удинского языка)			2009	Syntax and semantics in the distribution of negation markers (on the material of Udi)	Logical analysis of language. Assertion and negation	
INCOLLECTION	friedman2021	Oxford		Friedman, Victor	The Oxford Handbook of Languages of the Caucasus				Polinsky, Maria									201–241	Oxford University Press			Lak			2021			
INCOLLECTION	chumakina2021	Oxford		Chumakina, Marina	The Oxford Handbook of Languages of the Caucasus				Polinsky, Maria									280–316	Oxford University Press			Archi			2021			
UNPUBLISHED	authier_rutul			Authier, Gilles																		Rutul						
INCOLLECTION	ganenkov_maisak2021	Oxford		Ganenkov, Dmitry and Maisak, Timur	The Oxford Handbook of Languages of the Caucasus				Polinsky, Maria									86–145	Oxford University Press			Nakh-Dagestanian languages			2021			
ARTICLE	babaliyeva2023_tabasaran			Babaliyeva, Ayten 								Languages of the Caucasus				1						Standard Tabasaran: short grammar sketch 		6	2023			
BOOK	miestamo2005	Berlin, New York		Miestamo, Matti															De Gruyter Mouton			The {Negation} of {Declarative} {Verbal} {Main} {Clauses} in a {Typological} {Perspective}			2005			
ARTICLE	dahl1979			Dahl, Östen								Linguistics				1-2		79--106				Typology of sentence negation		17	1979			
INCOLLECTION	maisak2009	Москва		Майсак, Тимур	Логический анализ языка. Ассерция и негация				Арутюнова, Н. Д.									480--495	Индрик			Синтаксис и семантика в распределении показателей отрицания (на материале удинского языка)			2009			
INCOLLECTION	dryer2013			Dryer, Matthew S.	The {World} {Atlas} of {Language} {Structures} {Online}				Dryer, Matthew S. and Haspelmath, Martin						Type: Data set							Negative {Morphemes} (v2020.3)			2013			https://doi.org/10.5281/zenodo.7385533
INCOLLECTION	miestamo2013			Miestamo, Matti	The {World} {Atlas} of {Language} {Structures} {Online}				Dryer, Matthew S. and Haspelmath, Martin						Type: Data set							Subtypes of {Asymmetric} {Standard} {Negation} (v2020.3)			2013			https://doi.org/10.5281/zenodo.7385533 
UNPUBLISHED	harris2018			Harris, Alice C.																		Batsbi Grammatical Sketch			2018			
INCOLLECTION	schulze1994	Delmar		Schulze-Fürhoff, Wolfgang 	The North East Caucasian Languages 				Smeets, Riek									447–514	Caravan Press		The Indigenous Languages of the Caucasus	Udi			1994			
ARTICLE	belyaev2019_redup			Беляев, Олег И.								Вестник Московского университета. Серия 9. Филология						23–41				Редуплицироваться-то редуплицировался, да не выредуплицировался: конструкции с повтором глагола в аштынском даргинском		6	2019	Re-bloomin’-duplication: Double verbs in Ashti Dargwa		
